WBcode,WBname,COWabb,COWcode,COWname,Income,MENA
AFG,Afghanistan,AFG,700,Afghanistan,Low,0
ALB,Albania,ALB,339,Albania,Upper-Middle,0
DZA,Algeria,ALG,615,Algeria,Upper-Middle,1
ADO,Andorra,AND,232,Andorra,High,0
AGO,Angola,ANG,540,Angola,Upper-Middle,0
ATG,Antigua and Barbuda,AAB,58,Antigua & Barbuda,High,0
ARG,Argentina,ARG,160,Argentina,High,0
ARM,Armenia,ARM,371,Armenia,Low-Middle,0
AUS,Australia,AUL,900,Australia,High,0
AUT,Austria,AUS,305,Austria,High,0
NA,NA,AUH,300,Austria-Hungary,NA,0
AZE,Azerbaijan,AZE,373,Azerbaijan,Upper-Middle,0
NA,NA,BAD,267,Baden,NA,0
BHS,"Bahamas, The",BHM,31,Bahamas,High,0
BHR,Bahrain,BAH,692,Bahrain,High,1
BGD,Bangladesh,BNG,771,Bangladesh,Low-Middle,0
BRB,Barbados,BAR,53,Barbados,High,0
NA,NA,BAV,245,Bavaria,NA,0
BLR,Belarus,BLR,370,Belarus,Upper-Middle,0
BEL,Belgium,BEL,211,Belgium,High,0
BLZ,Belize,BLZ,80,Belize,Upper-Middle,0
BEN,Benin,BEN,434,Benin,Low,0
BTN,Bhutan,BHU,760,Bhutan,Low-Middle,0
BOL,Bolivia,BOL,145,Bolivia,Low-Middle,0
BIH,Bosnia and Herzegovina,BOS,346,Bosnia and Herzegovina,Upper-Middle,0
BWA,Botswana,BOT,571,Botswana,Upper-Middle,0
BRA,Brazil,BRA,140,Brazil,Upper-Middle,0
BRN,Brunei Darussalam,BRU,835,Brunei,High,0
BGR,Bulgaria,BUL,355,Bulgaria,Upper-Middle,0
BFA,Burkina Faso,BFO,439,Burkina Faso,Low,0
BDI,Burundi,BUI,516,Burundi,Low,0
KHM,Cambodia,CAM,811,Cambodia,Low,0
CMR,Cameroon,CAO,471,Cameroon,Low-Middle,0
CAN,Canada,CAN,20,Canada,High,0
CPV,Cape Verde,CAP,402,Cape Verde,NA,0
CAF,Central African Republic,CEN,482,Central African Republic,Low,0
TCD,Chad,CHA,483,Chad,Low,0
CHL,Chile,CHL,155,Chile,High,0
