DT.NFL.UNAI.CD,DT.ODA.OATL.CD,DC.DAC.USAL.CD,DC.DAC.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SP.POP.DPND.YG,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,per_si_allsi.cov_pop_tot,per_sa_allsa.cov_pop_tot,per_lm_alllm.cov_pop_tot,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SH.HIV.INCD.ZS,IT.NET.USER.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SP.POP.TOTL,SL.UEM.TOTL.ZS,Time.Code,SH.STA.MMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,WBcode,WBname,COWabb,COWcode,COWname,Income,MENA,year,polity2,durable,United Nations,United States,Joint United Nations Programme on HIV/AIDS (UNAIDS),United Nations Children`s Fund (UNICEF),United Nations Democracy Fund (UNDEF),United Nations Development Programme (UNDP),United Nations Economic Commission for Europe (UNECE),United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),United Nations Economic and Social Commission for Western Asia (UNESCWA),United Nations High Commissioner for Refugees (UNHCR),United Nations Peacebuilding Fund (UNPBF),United Nations Population Fund (UNFPA),United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),Family planning,General health including reproductive health,Other,Reproductive health care,STD/HIV/AIDS,Women in development,Womens equality organizations and institutions,Womens Aid,United Nations-Family planning,United Nations-General health including reproductive health,United Nations-Other,United Nations-Reproductive health care,United Nations-STD/HIV/AIDS,United Nations-Women in development,United Nations-Womens equality organizations and institutions,United States-Family planning,United States-General health including reproductive health,United States-Other,United States-Reproductive health care,United States-STD/HIV/AIDS,United States-Women in development,United States-Womens equality organizations and institutions,United Nations-Womens Aid,United States-Womens Aid,AIDname
,,15000000,15670000,537777811.1,,59.77732651,76.52247462,,,,,,,,,,,,,,,,8996351,,YR1960,,245.7,33.133,31.58,32.33756098,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1960.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30000000,33550000,548888895.6,,59.87815281,77.52917821,,,,,,,,,,,,,,,,9166764,,YR1961,,241.2,33.586,32.026,32.78697561,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1961.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13000000,15260000,546666677.8,,58.49287383,78.08540637,,,,,,,,,,,,,,,,9345868,,YR1962,,236.9,34.03,32.466,33.22892683,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1962.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32000000,34880000,751111191.1,,78.78275804,78.37535115,,,,,,,,,,,,,,,,9533954,,YR1963,,232.7,34.469,32.903,33.66690244,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1963.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37000000,44220000,800000044.4,,82.20844386,78.62537426,,,,,,,,,,,,,,,,9731361,,YR1964,,228.5,34.904,33.338,34.10190244,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1964.0,-7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33470000,51170000,1006666638,,101.2904713,78.92999097,,,,,,,,,,,,,,,,9938414,,YR1965,,224.4,35.337,33.771,34.53490244,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1965.0,-7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29970000,46960000,1399999967,,137.8993619,80.04918278,,,,,,,,,,,,,,,,10152331,,YR1966,,220.5,35.768,34.204,34.96692683,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1966.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26390000,37080000,1673333418,,161.3220001,81.04343736,,,,,,,,,,,,,,,,10372630,,YR1967,,216.5,36.2,34.636,35.39892683,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1967.0,-7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16920000,24500000,1373333367,,129.5066538,81.91747509,,,,,,,,,,,,,,,,10604346,,YR1968,,212.7,36.634,35.069,35.83241463,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1968.0,-7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15000000,22520000,1408888922,,129.7985414,82.62917712,,,,,,,,,,,,,,,,10854428,,YR1969,,208.7,37.072,35.505,36.26939024,AFG,Afghanistan,AFG,700.0,Afghanistan,Low,0.0,1969.0,-7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
