,country,survey,year,comp_upsec_v2_m,comp_upsec_2029_m
12,Afghanistan,MICS,2010.0,0.0556239,0.0388237
214,Albania,MICS,2000.0,0.4639577,0.505189
324,Albania,MICS,2005.0,0.4837849,0.4772122
465,Albania,DHS,2008.0,0.4697748,0.419894
629,Argentina,EPH,2004.0,0.6581544,0.6434053
970,Argentina,EPH,2012.0,0.7208602,0.7541661
1307,Armenia,DHS,2000.0,0.9102904,0.9344531
1533,Armenia,DHS,2005.0,0.8975831,0.8791915
1751,Armenia,DHS,2010.0,0.9655194,0.9593535
1967,Australia,HES-SIH,2010.0,0.8875344,0.8737542
1991,Austria,EU-SILC,2005.0,0.7985576,0.8640483
2027,Austria,EU-SILC,2013.0,0.8208846,0.857282
2115,Azerbaijan,MICS,2000.0,0.6345029,0.5713575
2450,Azerbaijan,DHS,2006.0,0.654684,0.5967978
2652,Bangladesh,DHS,1996.0,0.1429767,0.1140714
2825,Bangladesh,DHS,1999.0,0.1579638,0.1546615
3001,Bangladesh,DHS,2004.0,0.1535396,0.1541094
3183,Bangladesh,MICS,2006.0,0.1147239,0.1009462
3384,Bangladesh,DHS,2007.0,0.1404133,0.1612401
3558,Bangladesh,DHS,2011.0,0.2114424,0.1830648
3753,Bangladesh,MICS,2012.0,0.1650725,0.1235807
3951,Bangladesh,DHS,2014.0,0.2101098,0.1519146
4128,Barbados,MICS,2012.0,0.9776459,0.9671548
4234,Belarus,MICS,2005.0,0.726422,0.7505863
4404,Belarus,MICS,2012.0,0.8687346,0.907014
4573,Belgium,EU-SILC,2005.0,0.8807915,0.8888004
4606,Belgium,EU-SILC,2013.0,0.8462824,0.8536943
4656,Belize,MICS,2006.0,0.4623921,0.3307393
4808,Belize,MICS,2011.0,0.222539,0.218033
5001,Benin,DHS,1996.0,0.0076749,0.0054135
5217,Benin,DHS,2001.0,0.0173965,0.0167335
5446,Benin,DHS,2006.0,0.0664197,0.03696
5791,Benin,DHS,2011.0,0.0818742,0.067998
6138,Bhutan,MICS,2010.0,0.0507379,0.0557875
6503,"Bolivia, P. S.",DHS,1994.0,0.1227621,0.1253694
6615,"Bolivia, P. S.",DHS,1998.0,0.28424,0.2483481
6811,"Bolivia, P. S.",MICS,2000.0,0.4555857,0.4452896
6925,"Bolivia, P. S.",DHS,2003.0,0.4288881,0.3673742
7139,"Bolivia, P. S.",DHS,2008.0,0.5511068,0.4911129
7356,Bosnia and Herzegovina,MICS,2000.0,0.5285525,0.4851794
7446,Bosnia and Herzegovina,MICS,2006.0,0.5896295,0.5227985
7538,Bosnia and Herzegovina,MICS,2011.0,0.7637911,0.6645362
7661,Brazil,PNAD,1992.0,0.0710966,0.0919608
8138,Brazil,PNAD,1993.0,0.0732872,0.0948929
8617,Brazil,PNAD,1995.0,0.0810279,0.0980113
9101,Brazil,PNAD,1996.0,0.0789647,0.0990942
9593,Brazil,PNAD,1997.0,0.0910552,0.1043348
10091,Brazil,PNAD,1998.0,0.1021363,0.1110011
10589,Brazil,PNAD,1999.0,0.1038533,0.1150889
11100,Brazil,PNAD,2001.0,0.1157832,0.12763
11587,Brazil,PNAD,2002.0,0.1283112,0.1361945
12084,Brazil,PNAD,2003.0,0.1371268,0.1513354
12584,Brazil,PNAD,2004.0,0.1410746,0.1533494
13103,Brazil,PNAD,2005.0,0.1417011,0.1615303
13623,Brazil,PNAD,2006.0,0.1566216,0.1747556
14137,Brazil,PNAD,2007.0,0.1760716,0.1921416
14648,Brazil,PNAD,2008.0,0.1925022,0.2067114
15159,Brazil,PNAD,2009.0,0.1934877,0.216753
15682,Brazil,PNAD,2011.0,0.2104968,0.2326036
16192,Brazil,PNAD,2012.0,0.2209661,0.2530835
16650,Bulgaria,EU-SILC,2013.0,0.8353007,0.8415011
16700,Burkina Faso,DHS,1993.0,0.0136158,0.0132437
16894,Burkina Faso,DHS,1998.0,0.0113209,0.0118961
17107,Burkina Faso,DHS,2003.0,0.0335537,0.0258232
17457,Burkina Faso,MICS,2006.0,0.0169391,0.0216683
17799,Burkina Faso,DHS,2010.0,0.0176698,0.0181635
18146,Burundi,MICS,2000.0,0.0354839,0.0303605
18280,Burundi,MICS,2005.0,0.0304204,0.0233128
18435,Burundi,DHS,2010.0,0.028261,0.0339612
18607,Cambodia,DHS,2000.0,0.0265344,0.0298971
18993,Cambodia,DHS,2005.0,0.0784459,0.0567337
19393,Cambodia,DHS,2010.0,0.1313968,0.1063268
19796,Cambodia,DHS,2014.0,0.2040017,0.1651527
20179,Cameroon,DHS,1991.0,,0.0118235
20323,Cameroon,DHS,1998.0,0.05667,0.0513476
20571,Cameroon,MICS,2000.0,0.0466142,0.0472189
20767,Cameroon,DHS,2004.0,0.056737,0.0621117
21191,Cameroon,MICS,2006.0,0.1231433,0.094003
21531,Cameroon,DHS,2011.0,0.1107603,0.1063991
21942,Canada,SLID,2010.0,0.890604,0.9253659
21994,Central African Republic,DHS,1994.0,0.0077325,0.0101934
22203,Central African Republic,MICS,2000.0,0.0246196,0.022208
22560,Central African Republic,MICS,2006.0,0.0142738,0.0224667
22893,Central African Republic,MICS,2010.0,0.0421223,0.0451337
