,year,COWname,MENA,SP.POP.TOTL,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,polity2,durable,United Nations,United States,United Nations-Womens Aid,United States-Womens Aid,SE.SEC.CUAT.LO.FE.ZS
5420,2001.0,Afghanistan,0.0,20966463.0,2461665938.0,,117.4096908,,0.0,15890481.0,19117749.0,1259599.0,0.0,
5421,2001.0,Albania,0.0,3060173.0,4060758804.0,7.940331425,1326.970339,5.0,4.0,1661007.0,65585832.0,810224.0,1999111.0,70.99655151
5422,2001.0,Algeria,1.0,31592153.0,54744714396.0,3.008395466,1732.857979,-3.0,6.0,3433831.0,588568917.0,357719.0,0.0,
5423,2001.0,Angola,0.0,16983266.0,8936063723.0,4.220965147,526.168743,-3.0,4.0,15010820.0,48201067.0,3594004.0,1855425.0,
5424,2001.0,Argentina,0.0,37471509.0,268697000000.0,-4.408839683,7170.694673999999,8.0,18.0,2287618.0,4236865.0,568156.0,0.0,46.098758700000005
5425,2001.0,Armenia,0.0,3050655.0,2118467913.0,9.556641496000001,694.4305118999999,5.0,3.0,1828644.0,119951660.0,497973.0,492281.0,89.97026062
5427,2001.0,Austria,0.0,8042293.0,196954000000.0,1.35051608,24489.73553,10.0,55.0,0.0,171686160.0,0.0,0.0,
5428,2001.0,Azerbaijan,0.0,8111200.0,5707720391.0,9.9,703.6838433999999,-7.0,6.0,2441424.0,53223836.0,1017326.0,1877916.0,
5429,2001.0,Bahrain,1.0,697549.0,8976207713.0,2.491033565,12868.211000000001,-8.0,26.0,14545.0,0.0,14545.0,0.0,56.94968033
5430,2001.0,Bangladesh,0.0,134107160.0,53991289844.0,5.077287776,402.5981152,6.0,10.0,31438522.0,197631289.0,12503943.0,39982221.0,22.03034019
5431,2001.0,Belarus,0.0,9928549.0,12354820144.0,4.725306006,1244.373185,-7.0,5.0,436752.0,15513101.0,436752.0,0.0,
5433,2001.0,Benin,0.0,7076733.0,2680213931.0,5.3304108569999995,378.736054,6.0,10.0,5864092.0,26383267.0,2557132.0,4834100.0,
5434,2001.0,Bhutan,0.0,589600.0,476360697.2,8.203773861,807.9387673,-10.0,94.0,2490748.0,0.0,1008777.0,0.0,
5435,2001.0,Bolivia,0.0,8496375.0,8141537938.0,1.683799127,958.2366524,9.0,19.0,4829043.0,138309757.0,2318305.0,11746028.0,38.17161179
5436,2001.0,Bosnia and Herzegovina,0.0,3771284.0,5748990666.0,4.3999995069999995,1524.412022,,0.0,1053981.0,143801059.0,287787.0,0.0,
5437,2001.0,Botswana,0.0,1754935.0,5489608300.0,0.250573867,3128.097793,8.0,35.0,2056831.0,182418.0,517770.0,0.0,
5438,2001.0,Brazil,0.0,177750670.0,559373000000.0,1.389867166,3146.950177,8.0,16.0,5048526.0,886584534.0,1598434.0,5482562.0,
5439,2001.0,Bulgaria,0.0,8009142.0,14135393876.0,4.248025257,1764.9073870000002,9.0,11.0,216474.0,48549657.0,216474.0,0.0,84.97123718
5440,2001.0,Burkina Faso,0.0,11944587.0,2812845514.0,6.613399555,235.4912324,0.0,0.0,9208759.0,16657593.0,3327338.0,0.0,
5441,2001.0,Burundi,0.0,6555829.0,876794723.1,2.055807109,133.7427689,0.0,3.0,6884184.0,23402095.0,2505329.0,0.0,
5442,2001.0,Cambodia,0.0,12402473.0,3984000517.0,8.148386098,321.22630039999996,2.0,3.0,11200952.0,35672890.0,6061031.0,10826437.0,
5443,2001.0,Cameroon,0.0,15671927.0,9633109350.0,4.514271087,614.6729339,-4.0,9.0,5944286.0,5595012.0,2622260.0,0.0,
5445,2001.0,Cape Verde,0.0,443716.0,563024383.3,2.231654493,1268.884564,10.0,10.0,2197362.0,7130579.0,276102.0,0.0,
5446,2001.0,Central African Republic,0.0,3832203.0,931833302.8,4.464739026,243.1586486,5.0,8.0,4865136.0,595985.0,1316016.0,0.0,
5447,2001.0,Chad,0.0,8663012.0,1709347793.0,11.65813465,197.31564419999998,-2.0,9.0,5317767.0,3700855.0,1315542.0,0.0,
5448,2001.0,Chile,0.0,15444969.0,70979923960.0,3.303047313,4595.666327,9.0,12.0,1437896.0,193732606.0,180426.0,0.0,
5449,2001.0,China,0.0,1271850000.0,1339400000000.0,8.33991055,1053.1080240000001,-7.0,52.0,28048523.0,423345382.0,9932522.0,0.0,
5450,2001.0,Colombia,0.0,40988909.0,98203546156.0,1.677898308,2395.8565510000003,7.0,44.0,3199069.0,322187612.0,1542103.0,0.0,
5451,2001.0,Comoros,0.0,555888.0,220093812.2,2.332936494,395.93193629999996,0.0,0.0,1672883.0,0.0,231447.0,0.0,
5452,2001.0,Congo,0.0,3315806.0,2794259783.0,3.8026019,842.7090677000001,-5.0,4.0,2152673.0,11616082.0,504037.0,0.0,
5453,2001.0,Costa Rica,0.0,3996798.0,15913363335.0,3.490469432,3981.528047,10.0,82.0,1578084.0,3587156.0,301795.0,0.0,
5454,2001.0,Croatia,0.0,4440000.0,23289671102.0,3.434404365,5245.421418999999,8.0,1.0,0.0,59712197.0,0.0,0.0,71.87345123
5455,2001.0,Cuba,0.0,11186542.0,31682400000.0,3.185029904,2832.188893,-7.0,40.0,2724234.0,6233478.0,1087930.0,0.0,
5456,2001.0,Cyprus,0.0,960282.0,10567304189.0,3.60066503,15062.924330000002,10.0,27.0,0.0,18825379.0,0.0,0.0,
5457,2001.0,Czech Republic,0.0,10216605.0,67375623427.0,3.051521283,6594.717465,10.0,8.0,0.0,782153.0,0.0,0.0,
5459,2001.0,Djibouti,0.0,732711.0,572417440.8,2.0477644130000003,781.2322196,2.0,2.0,2138593.0,1403126.0,906724.0,0.0,
5460,2001.0,Dominican Republic,0.0,8697126.0,24892521237.0,1.8092294880000002,2862.154836,8.0,5.0,3507550.0,86940406.0,1926923.0,7674087.0,
5461,2001.0,Ecuador,0.0,12852755.0,24468324000.0,4.0156298999999995,1903.741571,6.0,1.0,2836087.0,77505539.0,1384129.0,1558057.0,
5462,2001.0,Egypt,1.0,71226940.0,97632008710.0,3.53525197,1370.7174380000001,-6.0,49.0,9614613.0,1161444813.0,4159352.0,40157143.0,
5463,2001.0,El Salvador,0.0,5905962.0,13812700000.0,1.708936396,2338.7722440000002,7.0,17.0,2426610.0,136081993.0,1081419.0,4935304.0,
5464,2001.0,Equatorial Guinea,0.0,639762.0,1461139022.0,63.37987543,2283.879039,-6.0,32.0,1788278.0,770907.0,665627.0,0.0,
5465,2001.0,Eritrea,0.0,3497124.0,752368495.5,8.75543519,215.1392103,-7.0,8.0,6925119.0,40254599.0,2823224.0,3276043.0,
5466,2001.0,Estonia,0.0,1388115.0,6245069734.0,6.328710504,4498.957027,9.0,1.0,81060.0,2365198.0,81060.0,0.0,
5467,2001.0,Fiji,0.0,814218.0,1660102346.0,1.9999994680000002,2038.891729,5.0,0.0,130030.0,9996.0,0.0,0.0,
5470,2001.0,Gabon,0.0,1262259.0,5018874179.0,2.1352334219999998,3976.1048869999995,-4.0,10.0,1761680.0,8106395.0,379556.0,0.0,
5471,2001.0,Gambia,0.0,1270495.0,687408804.6,5.800000236,541.0558913,-5.0,4.0,2175038.0,1792953.0,265532.0,0.0,
5472,2001.0,Georgia,0.0,4386400.0,3219487825.0,4.805452136,733.9704142,5.0,10.0,1489395.0,124455913.0,464573.0,877111.0,
5474,2001.0,Ghana,0.0,19421605.0,5314909954.0,4.0,273.6596668,6.0,0.0,10508709.0,84132512.0,5371744.0,16185303.0,
5476,2001.0,Guatemala,0.0,11924946.0,18702802395.0,2.33257416,1568.376276,8.0,5.0,3218374.0,91802927.0,1374813.0,9905596.0,
5477,2001.0,Guinea,0.0,8971139.0,2833442750.0,3.658346471,315.8398003,-1.0,6.0,6990224.0,33914920.0,1198773.0,5714958.0,
5478,2001.0,Guinea-Bissau,0.0,1267512.0,392278168.2,2.188906815,309.48674900000003,5.0,1.0,2398532.0,632219.0,726314.0,0.0,
5479,2001.0,Guyana,0.0,752263.0,696281471.7,2.249999297,925.5825046,6.0,9.0,1429320.0,20864476.0,708675.0,997056.0,
5480,2001.0,Haiti,0.0,8692567.0,3596448035.0,-1.0443743909999998,413.7383164,-2.0,1.0,6947673.0,96582048.0,2478029.0,16646347.0,
5481,2001.0,Honduras,0.0,6693061.0,7565869928.0,2.723193273,1130.405046,7.0,19.0,3564193.0,81188903.0,2106581.0,9059721.0,
