loc_str,Long,Lat
Manuelita Cocos Island COSTA RICA,5.5313198,-87.0961449
"Stillwater Cove, Monterey County California USA",36.5639138,-121.9445819
"Floridana Beach, Brevard County Florida USA",27.9448942,-80.505628
Avoca Beach New South Wales AUSTRALIA,-33.4705196,151.4107836
Guardalavaca Beach Holquin Province CUBA,21.1162344,-75.879118
Magnetic Island Queensland AUSTRALIA,-19.1421512,146.7963652
Birubi Point New South Wales AUSTRALIA,-32.7884083,152.0715595
"White Plains Beach, Oahu Hawaii USA",21.3030285,-158.0468662
Le Goulet Pamplemousses  MAURITIUS,-20.1044023,57.5155488
"Juno Beach, Palm Beach County Florida USA",26.875057,-80.0751825
"Ocean Reef Park, Singer Island, Palm Beach County Florida USA",26.7937693,-80.0350718
Normanville South Australia AUSTRALIA,-35.4649901,138.2690643
"Lantana Beach, Palm Beach County Florida USA",26.5827809,-80.0698786
"Davidsons Beach, Kekaha, Kauai Hawaii USA",21.9641661,-159.7176437
"KamaäóÖole Beach Park, Maui  Hawaii USA",20.7128808,-156.4482654
Dyer Island Western Cape Province SOUTH AFRICA,-34.6827695,19.4134289
"Hanna Park, Jacksonville, Duval County Florida USA",30.3709252,-81.4089605
Gracetown Western Australia AUSTRALIA,-33.8690139,114.936154
Rockaway New York USA,40.5867238,-73.8202541
Fort Worth Florida USA,26.6202702,-80.0937282
Palm Beach County Florida USA,26.6455749,-80.7104686
Gran Canaria  Canary Islands SPAIN,27.957502,-15.8766352
"Ponce Inlet, Volusia County Florida USA",29.1029784,-80.9633912
Hawston Western Cape Province SOUTH AFRICA,-34.3862513,19.1225144
Esperance Westerm Australia AUSTRALIA,-33.8612197,121.8829606
Sam's Creek area Westerm Australia AUSTRALIA,-20.6223242,117.1814911
Iluka Beach New South Wales AUSTRALIA,-29.4102989,153.3489344
Iwata City Shizuoka Prefecture JAPAN,34.7682772,137.7099813
"Marathon, Monroe County Florida USA",24.7328733,-81.0946389
"South Padre Island, Cameron County Texas USA",26.1127217,-97.2030206
"New Smyrna Beach, Volusia County Florida USA",29.0295263,-81.0249492
Bathtub Beach  Florida USA,27.1863376,-80.1625477
Grao de Moncofa Castellí_n SPAIN,39.7998241,-0.149381
Rose Island New Providence District BAHAMAS,25.1053061,-77.2357128
"English Bay Ascension Island ST HELENA, British overseas territory",-7.9412278,-14.4280779
"Síçnchez Magallanes, Cíçrdenas Tabasco MEXICO",39.3406926,-74.5000456
"Nahoon Reef, East London Eastern Cape Province SOUTH AFRICA",-32.9965532,27.9475273
Moya Anjouan COMOROS,-12.3090497,44.4315594
Wrightsville Beach South Carolina USA,34.206923,-77.8161988
Hilton Head South Carolina USA,32.1834116,-80.8874831
"Singer Island, Palm Beach County Florida USA",26.7850618,-80.0462956
Playa däó»en Bossa Ibiza Island SPAIN,38.8857266,1.4026345
Palm Cove  Queensland AUSTRALIA,-33.3192207,115.6310993
Sullivan's Island South Carolina USA,32.7709427,-79.8550196
"Atlantic Beach, Emerald Isle, Carteret County North Carolina USA",34.7035868,-77.3035459
Ryspunt Western Cape Province SOUTH AFRICA,-34.1913578,24.7114128
"Pelican Beach Park, Satellite Beach, Brevard County Florida USA",28.1673007,-80.5899484
"Kalapaki Beach, Kauai Hawaii USA",21.9601779,-159.3523706
Coral Bay Western Australia AUSTRALIA,-23.1420367,113.7638538
"Pirates Beach, Galveston Texas USA",29.2047732,-94.9387669
"Flagler Beach, Flagler County Florida USA",29.4658634,-81.1615857
Mindarie Western Australia AUSTRALIA,-31.6889597,115.6896937
Ain Sokhna Suez EGYPT,29.632561,32.3212623
Kingscliff New South Wales AUSTRALIA,-28.2611985,153.5376769
"Falcon Beach, Mandurah Western Australia AUSTRALIA",-32.5853767,115.6374025
"Corona Del Mar, Newport, Orange County California USA",33.6022548,-117.8832491
"Neptune, Duval County Florida USA",30.3157893,-81.4202417
"St. Petersburg, Pinellas County Florida USA",27.7786988,-82.7949081
"Hugenot Beach , Jacksonville, Duval County Florida USA",30.4110088,-81.4226769
"Boca Raton, Palm Beach County Florida USA",26.3728124,-80.1874063
"Wailea Beach, Maui Hawaii USA",20.685144,-156.4453363
Cormandel North Island NEW ZEALAND,-36.8333324,175.5745785
Balian Bali INDONESIA,-8.5031133,114.9633709
"Robberg Beach, Plettenberg Bay Western Cape Province SOUTH AFRICA",-34.0820162,23.3612287
"First Sun Beach, Byron Bay New South Wales AUSTRALIA",-28.6500106,153.578435
Makemo Atoll Tuamotos FRENCH POLYNESIA,-16.5838551,-143.6601667
"Off Singer Island, Palm Beach County Florida USA",26.7850618,-80.0462956
Poe Beach Grand Terre NEW CALEDONIA,-21.6098406,165.3732516
