geo_country,lat,geo_loc_str,long
Costa Rica,5.528228299999999,Manuelita Cocos Island COSTA RICA,-87.0574302
Costa Rica,5.528228299999999,Manuelita Cocos Island COSTA RICA,-87.0574302
Thailand,,,
United States,36.563945,"Stillwater Cove, Monterey County California USA",-121.9423337
United States,27.9456312,"Floridana Beach, Brevard County Florida USA",-80.497996
Thailand,,,
Australia,-33.465,Avoca Beach New South Wales AUSTRALIA,151.435
Cuba,21.1221074,Guardalavaca Beach Holquin Province CUBA,-75.83868819999998
Australia,-19.135865300000006,Magnetic Island Queensland AUSTRALIA,146.8423556
Australia,-32.7884091,Birubi Point New South Wales AUSTRALIA,152.08031430000003
United States,21.3035275,"White Plains Beach, Oahu Hawaii USA",-158.0452282
Mauritius,-20.1044023,Le Goulet Pamplemousses  MAURITIUS,57.5177375
United States,26.8797819,"Juno Beach, Palm Beach County Florida USA",-80.0533743
United States,26.793769300000005,"Ocean Reef Park, Singer Island, Palm Beach County Florida USA",-80.03288309999998
Australia,-35.44638279999999,Normanville South Australia AUSTRALIA,138.3215845
United States,26.5867358,"Lantana Beach, Palm Beach County Florida USA",-80.05198589999998
United States,21.9641667,"Davidsons Beach, Kekaha, Kauai Hawaii USA",-159.7088889
United States,20.7128808,"Kama‘ole Beach Park, Maui  Hawaii USA",-156.4460767
South Africa,-34.6841036,Dyer Island Western Cape Province SOUTH AFRICA,19.4147569
United States,30.3709252,"Hanna Park, Jacksonville, Duval County Florida USA",-81.4067718
Australia,-33.841649100000005,Gracetown Western Australia AUSTRALIA,115.0221321
United States,40.58672470000001,Rockaway New York USA,-73.81149930000002
United States,26.6167555,Fort Worth Florida USA,-80.06844790000002
United States,26.651450300000004,Palm Beach County Florida USA,-80.27673270000003
Spain,27.9202202,Gran Canaria  Canary Islands SPAIN,-15.547437300000002
United States,29.0963729,"Ponce Inlet, Volusia County Florida USA",-80.9369983
South Africa,-34.3901402,Hawston Western Cape Province SOUTH AFRICA,19.1374653
,,Nofoali’i  Upolu Island SAMOA,
Australia,-33.8608027,Esperance Westerm Australia AUSTRALIA,121.8896205
Australia,-20.6223242,Sam's Creek area Westerm Australia AUSTRALIA,117.1836798
Australia,-29.4120103,Iluka Beach New South Wales AUSTRALIA,153.3647477
Thailand,,,
South Africa,-34.6841036,Dyer Island Western Cape Province SOUTH AFRICA,19.4147569
Japan,34.71790350000001,Iwata City Shizuoka Prefecture JAPAN,137.85151330000002
United States,24.726026,"Marathon, Monroe County Florida USA",-81.0446262
United States,26.1118401,"South Padre Island, Cameron County Texas USA",-97.1681257
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
,,Cathedral Rock Victoria AUSTRALIA,
United States,27.1863376,Bathtub Beach  Florida USA,-80.160359
Spain,39.8014698,Grao de Moncofa Castellón SPAIN,-0.1309362
,,Off Tutukaka North Island NEW ZEALAND,
United States,41.8917732,"Marconi Beach, Wellfleet, Barnstable County Massachusetts USA",-69.96113059999999
Thailand,,,
United States,32.1547781,"Sea Pines Resort, Hilton Head Island, Beaufort County South Carolina USA",-80.7679546
,,Marsa Ghalib Red Sea Protectorate EGYPT,
United States,41.54930170000001,"Menauhant Beach, Falmouth,
Barnstable County Massachusetts USA",-70.5557244
United States,37.22736079999999,"Between Pescadero Point & Bean Hollow Beach, San Mateo County California USA",-122.4109773
United States,32.216316,"Hilton Head Island, Beaufort County South Carolina USA",-80.752608
United States,33.3690565,"DeBordieu Colony, Georgetown County South Carolina USA",-79.15171109999999
The Bahamas,25.0874121,Rose Island New Providence District BAHAMAS,-77.2218338
Thailand,,,
"Saint Helena, Ascension and Tristan da Cunha",-7.9467165999999985,"English Bay Ascension Island ST HELENA, British overseas territory",-14.3559158
United States,39.34039420000001,Ventnor New Jersey USA,-74.4773735
Spain,39.316562,"Estanys Beach, Colonia de Sant Majorca SPAIN",2.9938130000000003
United States,24.6981975,"Snipes Point, Monroe County Florida USA",-81.67397840000002
,,"Hilton Head Island, Beaufort County South Carolina USA",
United States,34.40998070000001,"Stearns Wharf, Santa Barbara California USA",-119.6855856
United States,34.416834200000004,"Seal Rock, Goleta Beach, Santa Barbara California USA",-119.8322099
United States,46.888832,"South Beach, Westport, Grays Harbor County Washington USA",-124.1038919
United States,36.9741171,"Santa Cruz, Santa Cruz County California USA",-122.0307963
United States,25.9065987,"Haulover Beach, Miami-Dade County Florida USA",-80.1244416
Mexico,18.281481,"Sánchez Magallanes, Cárdenas Tabasco MEXICO",-93.876869
South Africa,-32.9965532,"Nahoon Reef, East London Eastern Cape Province SOUTH AFRICA",27.949716
,,Moya Anjouan COMOROS,
United States,34.2076329,Wrightsville Beach South Carolina USA,-77.79634589999998
,,Hilton Head South Carolina USA,
,,"Singer Island, Palm Beach County Florida USA",
United States,32.216316,Hilton Head South Carolina USA,-80.752608
Thailand,,,
Spain,38.883819,Playa d’en Bossa Ibiza Island SPAIN,1.4058811000000002
Thailand,,,
Australia,-33.3153009,"Point Casuarina, Bunbury Western Australia AUSTRALIA",115.6371109
Australia,-38.474,"Flinders, Mornington Penisula Victoria AUSTRALIA",145.02200000000005
United States,29.0963729,"Ponce Inlet, Volusia County Florida USA",-80.9369983
United Kingdom,50.27831670000001,Bantham Beach South Devon UNITED KINGDOM,-3.8785889
,,"Middle Sambo Reef off Boca Chica, Monroe County Florida USA",
The Bahamas,25.0782767,Athol Island New Providence  BAHAMAS,-77.27176419999998
United States,33.037670299999995,"Awendaw, Charleston County South Carolina USA",-79.61312699999998
United States,26.8891892,Off Jupiter Florida USA,-80.1056256
Australia,-29.108617100000004,Evans Head New South Wales AUSTRALIA,153.4217078
United Arab Emirates,25.3365669,"Khor Fakkan Sharjah,  UNITED ARAB EMIRATES",56.3432629
Australia,-12.6492936,Weipa Queensland AUSTRALIA,141.84699009999997
Mexico,23.4041532,"Los Arbolitos, Cabo Pulmo Baja California Sur MEXICO",-109.4249707
United States,33.7207336,"Sunset Beach, Orange County California USA",-118.0735739
United States,33.3811408,"San Onofre, San Diego County  California USA",-117.5731016
South Africa,-33.8923946,"Keurbooms, Plettenberg Bay Western Cape Province SOUTH AFRICA",23.1679321
United States,32.6551798,"Folly Beach, Charleston County South Carolina USA",-79.94036729999998
,,Pointe au Sal Saint-Leu REUNION,
New Zealand,-46.6491468,"Porpoise Bay, Catlins South Island NEW ZEALAND",169.11717869999995
Thailand,,,
"Saint Helena, Ascension and Tristan da Cunha",-7.9467165999999985,"English Bay Ascension Island ST HELENA, British overseas territory",-14.3559158
United States,33.4213399,Georgetown County South Carolina USA,-79.29021329999998
United States,29.2108147,"Daytona Beach, Volusia County Florida USA",-81.02283309999999
Australia,-33.8324777,Kelpies near Wylie Bay Western Australia AUSTRALIA,121.9970721
United States,21.9684209,"Kekaha Beach, Kauai Hawaii USA",-159.7196382
United States,30.3709252,"Hanna Park, Jacksonville, Duval County Florida USA",-81.4067718
United States,29.9012437,St. Augustine Florida USA,-81.31243409999998
South Africa,-30.8333333,Protea Banks KwaZulu-Natal SOUTH AFRICA,30.4833333
United States,29.2858129,"Ormond Beach, Volusia County Florida USA",-81.05588940000001
United States,28.068349600000005,"Melbourne Beach, Brevard County Florida USA",-80.56033029999998
United States,28.068349600000005,"Melbourne Beach, Brevard County Florida USA",-80.56033029999998
United States,29.2108147,"Daytona, Volusia County Florida USA",-81.02283309999999
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
Australia,-27.3123953,Moreton Bay Queensland AUSTRALIA,153.3446649
United States,30.3935337,"Destin, Okaloosa County Florida USA",-86.4957833
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
Australia,-34.5003499,The Farm New South Wales AUSTRALIA,149.4228892
United States,36.80074129999999,Monterey Bay California USA,-121.947311
Thailand,,,
Australia,-31.8832473,Mauds Point Western Australia AUSTRALIA,116.7616251
Australia,-32.5785751,"Falcon Bay Beach, Mandurah Western Australia AUSTRALIA",115.6535813
Thailand,,,
Australia,-18.235612,Eva Rock Queensland AUSTRALIA,146.3256112
United States,28.068349600000005,"Melbourne Beach, Brevard County Florida USA",-80.56033029999998
Brazil,-3.8604156,Fernando de Noronha Marine Park Pernambuco BRAZIL,-32.415579
South Africa,-29.742907,Eastmoor Crescent Beach KwaZulu-Natal SOUTH AFRICA,31.0779502
United States,32.2956531,16 miles off Hilton Head South Carolina USA,-80.9441032
Thailand,,,
United States,27.6386434,"Vero Beach, Indian River County Florida USA",-80.39727359999998
,,"Boot Reef, Torres Strait Queensland AUSTRALIA",
Australia,-22.0422664,Clairview Queensland AUSTRALIA,149.4835735
United States,27.2544906,Jensen Beach Florida USA,-80.22976969999998
Indonesia,-8.503113299999999,Balian Beach Bali INDONESIA,114.9655596
Thailand,,,
United States,28.2604355,"Blockhouse Beach, Brevard County Florida USA",-80.60459190000002
Australia,-36.8875485,Merimbula New South Wales AUSTRALIA,149.90587480000005
United States,27.5382739,"Avalon State Park Beach, North Hutchinson Island, St Lucie County Florida USA",-80.31620960000002
,,"Bundegi Sanctuary Zone, Ningaloo Western Australia AUSTRALIA",
South Africa,-34.03804,"Keurbooms Lagoon, Plettenberg Bay Western Cape Province SOUTH AFRICA",23.3782357
Australia,-31.8779189,Trigg Beach Western Australia AUSTRALIA,115.7517755
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
Australia,-36.8875485,Merimbula New South Wales AUSTRALIA,149.90587480000005
Australia,-32.312709600000005,Booti Booti National Park New South Wales AUSTRALIA,152.5179343
Australia,-38.2677746,Queenscliff Victoria AUSTRALIA,144.6286897
United States,20.7162466,"Kamaole Beach Park I, Maui Hawaii USA",-156.4466804
United States,30.3881464,"Mayport Naval Station Beach, Duval County Florida USA",-81.40827039999998
United States,30.391306,Mayport Naval Station  Duval County Florida USA,-81.4237363
Australia,-28.7018464,Broken Head Beach New South Wales AUSTRALIA,153.6139946
United States,20.9342545,"Hooipa Beach Park, Maui Hawaii USA",-156.356079
Australia,-26.801,"Kings Beach, Caloundra Queensland AUSTRALIA",153.141
United States,20.7245696,"Charlie Young Beach, Kihei, Maui Hawaii USA",-156.4490623
Thailand,,,
Australia,-28.8377242,"Sharpes Beach, Ballina New South Wales AUSTRALIA",153.60440319999995
United States,45.9273111,"Indian Beach, Ecola State Park, Clatsop County Oregon USA",-123.97248590000002
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
Australia,-28.87259989999999,"Lighthouse Beach, Ballina New South Wales AUSTRALIA",153.58992469999995
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,40.7195153,"Bunkers, Humboldt Bay, Eureka, Humboldt County California USA",-124.242601
Australia,-38.2852436,Thirteenth Beach Victoria AUSTRALIA,144.4587149
Australia,-38.366944,Bells Beach Victoria AUSTRALIA,144.284722
,,Bunbury Western Australia AUSTRALIA,
,,"Ponte Vedra, St. Johns County Florida USA",
,,"Makaha, Oahu Hawaii USA",
New Caledonia,-20.549448,Koumac North Province NEW CALEDONIA,164.2707509
United States,33.7737746,"Kingston Plantation, Myrtle Beach, Horry County South Carolina USA",-78.78008679999998
Australia,-33.687386,Injidup  Western Australia AUSTRALIA,114.99718500000002
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,34.4641472,"Refugio State Beach, Santa Barbara County California USA",-120.0665344
Thailand,,,
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
Thailand,,,
United States,30.2400058,"Ponte Vedra, St. Johns County Florida USA",-81.3852595
The Bahamas,25.0479835,Nassau New Providence Island BAHAMAS,-77.355413
United States,20.7983626,Maui Hawaii USA,-156.3319253
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
,,Arenales del Sol Alicante Province SPAIN,
Thailand,,,
Australia,-35.0275298,Near Albany Western Australia AUSTRALIA,117.883959
United States,25.027335600000004,"Florida Keys, Monroe County Florida USA",-81.5357506
Australia,-28.8377242,"Sharpes Beach, Ballina New South Wales AUSTRALIA",153.60440319999995
Japan,33.0213083,Irino Beach Kochi Prefecture JAPAN,133.01475559999997
Australia,-42.989444,Clifton Beach Tasmania AUSTRALIA,147.52166699999995
The Bahamas,26.774710700000004,Green Turtle Cay Abaco Islands BAHAMAS,-77.3295708
Australia,-28.1622578,"20 k off The Spit, off the Gold Coast Queensland AUSTRALIA",153.4566241
United States,30.793050800000003,8 miles off Mobile Alabama USA,-88.1315704
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,33.728714000000004,"Surfside, Orange County California USA",-118.0840212
United States,33.8160058,"North Myrtle Beach, Horry County South Carolina USA",-78.68001600000002
Thailand,,,
,,"Las Teresitas, Tenerife Canary Islands SPAIN",
United States,36.9752283,"Capitola, Santa Cruz County California USA",-121.953293
United States,42.614076,"Off Gloucester, Essec County Massachusetts USA",-70.66278100000002
United States,33.768384399999995,"Off Palos Verdes peninsula, Los Angeles County California USA",-118.3492165
United States,28.068349600000005,"Melbourne Beach, Brevard County Florida USA",-80.56033029999998
Australia,-16.74405,Palm Cove  Queensland AUSTRALIA,145.67095
United States,32.76323230000001,Sullivan's Island South Carolina USA,-79.8367511
United States,34.708856299999994,"Atlantic Beach, Emerald Isle, Carteret County North Carolina USA",-76.7377872
Thailand,,,
South Africa,-34.1913578,Ryspunt Western Cape Province SOUTH AFRICA,24.713601500000006
United States,33.8160058,"North Myrtle Beach, Horry County South Carolina USA",-78.68001600000002
United States,28.1673007,"Pelican Beach Park, Satellite Beach, Brevard County Florida USA",-80.58775969999998
United States,21.9605229,"Kalapaki Beach, Kauai Hawaii USA",-159.3501759
Australia,-23.144722,Coral Bay Western Australia AUSTRALIA,113.776389
United States,29.2047732,"Pirates Beach, Galveston Texas USA",-94.9365782
United States,34.708856299999994,"Atlantic Beach, Emerald Isle, Carteret County North Carolina USA",-76.7377872
United States,32.6551798,"Folly Beach, Charleston County South Carolina USA",-79.94036729999998
United States,29.474975399999995,"Flagler Beach, Flagler County Florida USA",-81.1270035
Australia,-31.688,Mindarie Western Australia AUSTRALIA,115.707
Egypt,29.6325617,Ain Sokhna Suez EGYPT,32.330017100000006
Australia,-28.264593800000004,Kingscliff New South Wales AUSTRALIA,153.5776602
Thailand,,,
Australia,-32.5933864,"Falcon Beach, Mandurah Western Australia AUSTRALIA",115.6364088
United States,33.5978595,"Corona Del Mar, Newport, Orange County California USA",-117.8730142
United States,30.311908000000006,"Neptune, Duval County Florida USA",-81.39647339999998
United States,27.6386434,"Vero Beach, Indian River County Florida USA",-80.39727359999998
United States,27.7518284,"St. Petersburg, Pinellas County Florida USA",-82.6267345
United States,30.4110088,"Hugenot Beach , Jacksonville, Duval County Florida USA",-81.4204882
United States,30.2400058,"Ponte Vedra, St. Johns County Florida USA",-81.3852595
United States,26.3683064,"Boca Raton, Palm Beach County Florida USA",-80.1289321
United States,20.682848,"Wailea Beach, Maui Hawaii USA",-156.4429602
,,Cormandel North Island NEW ZEALAND,
Indonesia,-8.503113299999999,Balian Bali INDONESIA,114.9655596
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
South Africa,-34.07614,"Robberg Beach, Plettenberg Bay Western Cape Province SOUTH AFRICA",23.37059
Australia,-28.6410983,"First Sun Beach, Byron Bay New South Wales AUSTRALIA",153.611705
French Polynesia,-16.5395622,Makemo Atoll Tuamotos FRENCH POLYNESIA,-143.8671868
United States,26.7850625,"Off Singer Island, Palm Beach County Florida USA",-80.03754080000002
New Caledonia,-21.6098415,Poe Beach Grand Terre NEW CALEDONIA,165.3907613
Thailand,,,
United States,25.027335600000004,"Florida Keys, Monroe County Florida USA",-81.5357506
United States,26.7077343,"Corners Beach, Jupiter, Palm Beach County Florida USA",-80.1125957
United States,20.8147221,"Olowalu, Maui Hawaii USA",-156.625
Australia,-34.656041200000004,Bombo Beach New South Wales AUSTRALIA,150.8556659
United States,26.452024800000004,"Fort Myers Beach, Lee County Florida USA",-81.948145
Australia,-34.0496066,North Cronulla Beach New South Wales AUSTRALIA,151.1572211
Thailand,,,
United States,33.695569799999994,"Bolsa Chica State Park, Orange County California USA",-118.0487973
United States,27.6461502,"Vero Beach, St. Lucie County Florida USA",-80.40011919999998
Thailand,,,
United States,26.793769300000005,"Ocean Reef Park, Singer Island, Palm Beach County Florida USA",-80.03288309999998
Australia,-37.0330556,Wrights Bay South Australia AUSTRALIA,139.7411111
,,Escalerio Beach Balneário Camboriú Santa Catarina State BRAZIL,
New Caledonia,-22.31259,"Ricaudy Reef, Noumea South Province NEW CALEDONIA",166.4541395
New Caledonia,-22.1254459,Yate South Province NEW CALEDONIA,166.77981719999997
Dominican Republic,18.6654185,"Bavaro Beach, Punta Cana Altagracia Province DOMINICAN REPUBLIC",-68.3959708
Cayman Islands,19.3221698,Stingray City Bar Grand Cayman CAYMAN ISLANDS,-81.2408689
Australia,-40.93,Nettley Bay Tasmania AUSTRALIA,144.62
Australia,-27.5323174,Stradbroke Island Queensland AUSTRALIA,153.46260769999995
Australia,-35.1114318,Hams Beach New South Wales AUSTRALIA,150.6947475
Thailand,,,
United States,22.2090776,"Hanalei Bay, Kauai Hawaii USA",-159.5067583
United States,22.2090776,"Hanalei Bay, Kauai,  Hawaii USA",-159.5067583
United States,29.303383,Off Surfside Texas USA,-94.7894685
,,35 miles off Fujairah Fujairah Emirate UNITED ARAB EMIRATES,
United States,20.682848,"Wailea Beach, Maui Hawaii USA",-156.4429602
Australia,-26.8071839,"Happy Valley Beach, Caloundra Queensland AUSTRALIA",153.13424890000005
Australia,-23.442297600000003,Heron Island Queensland AUSTRALIA,151.9148004
Australia,-23.0732776,Miall Island Queensland AUSTRALIA,150.89508600000005
South Africa,-29.591209600000006,Westbrook Beach KwaZulu-Natal SOUTH AFRICA,31.1713495
Spain,27.858225,"Arinaga Beach, Aguimes, Gran Canaria Grand Canary Island SPAIN",-15.394737
United States,19.5943328,La'aloa Beach Park Hawaii USA,-155.9718466
Australia,-33.891020000000005,Bondi Beach New South Wales AUSTRALIA,151.277726
Brazil,-3.8447976,Fernano de Noronha Pernambuco BRAZIL,-32.4268917
Thailand,,,
Australia,-33.0539197,Lake Macquarie New South Wales AUSTRALIA,151.6432586
Thailand,,,
South Africa,-33.840746,Mpande Eastern Cape Province SOUTH AFRICA,25.534952
Ecuador,-0.8292374,"Punta Vicente Roca, Isabella Island Galapagos Islands ECUADOR",-91.135302
United States,28.6555177,"Playalinda Beach, Brevard County Florida USA",-80.6318287
United States,26.7056206,"Palm Beach, Palm Beach County Florida USA",-80.0364297
United States,26.793769300000005,"Ocean Reef Park, Singer Island, Palm Beach County Florida USA",-80.03288309999998
Australia,-28.8537305,East Ballina New South Wales AUSTRALIA,153.5865127
United States,28.1235406,"Paradise Beach, Melbourne, Brevard County Florida USA",-80.5778693
United States,19.3946577,"Kehena Beach, Hawaii Hawaii USA",-154.9290878
United States,28.3200067,"Cocoa Beach, Brevard  County Florida USA",-80.6075513
Mozambique,-23.8611302,Maxixe Inhambane Province MOZAMBIQUE,35.3411388
Australia,-34.9233188,Bald Island Western Australia AUSTRALIA,118.46887759999998
,,"Malaka, Oahu Hawaii USA",
South Africa,-34.3642194,Stil Bay Western Cape Province SOUTH AFRICA,21.4335508
United States,28.6555177,"Playalinda Beach, Brevard County Florida USA",-80.6318287
United States,26.3184123,"Deerfield Beach, Broward County Florida USA",-80.09976569999998
,,"Nahaduga, Inhambane Bay Inhambane Province MOZAMBIQUE",
United States,21.285002,"Waikiki,  Hawaii USA",-157.835698
United States,21.3930533,"Lanikai Beach, Kailua, Oahu Hawaii USA",-157.715435
United States,35.583850700000006,"Off Leffingwell Landing, San Luis Obispo County California USA",-121.1214197
United States,32.153740899999995,"Shipyard Beach Club, Hilton Head Island, Beaufort County South Carolina USA",-80.7301358
United States,21.628128,"Leftovers, Oahu Hawaii USA",-158.073538
,,"Maxixe, Inhambane Bay Inhambane Province MOZAMBIQUE",
Australia,-32.603604100000005,Pyramids Beach Western Australia AUSTRALIA,115.6304031
United States,27.498763,"Pepper Park Beach, St. Lucie County Florida USA",-80.3016525
United States,29.3013479,Galveston Texas USA,-94.7976958
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,29.9385794,"Vilano Beach, St.  Johns County Florida USA",-81.30201729999997
Australia,-17.2291545,"Russel Island, Frankland Group Queensland AUSTRALIA",146.09400219999995
,,"Horseshoe Rock, Santa Barbara County California USA",
United States,29.0258191,"New Smyrna Beach, Volusia County Florida USA",-80.9269984
United States,20.2689664,"Upolu Point, North Kohala, Big Island Hawaii USA",-155.8545221
United States,30.669681800000006,"Fernandina Beach, Amelia Island, Nassau County Florida USA",-81.46259189999998
United States,29.9385794,"Vilano Beach, St.  Johns County Florida USA",-81.30201729999997
United States,30.483055600000004,"Big Talbot Island, Duval County Florida USA",-81.44
United States,30.2841224,"Jacksonville Beach, Duval County Florida USA",-81.3961338
Australia,-33.3699595,North Shelly Beach New South Wales AUSTRALIA,151.4858695
United States,34.040360799999995,"El Pescador Beach, Los Angeles County California USA",-118.8921386
United States,34.0761836,"Deer Creek Beach, Ventura County California USA",-118.9910772
Australia,-32.0683509,Hallidays Point New South Wales AUSTRALIA,152.51499819999995
United States,33.689060299999994,"Myrtle Beach, Horry County South Carolina USA",-78.8866943
Thailand,7.8438991000000025,Karon Beach Phuket THAILAND,98.2936186
Thailand,,,
,,"Morro Strand State Beach, San Luis Obispo County California USA",
United States,35.3659445,"Morro Bay, San Luis Obispo County California USA",-120.8499924
United States,28.3200067,"Cocoa Beach, Brevard  County Florida USA",-80.6075513
Australia,-31.47891719999999,Lighthouse Beach New South Wales AUSTRALIA,152.9298045
United States,33.5510021,"Murrells Inlet, Georgetown County South Carolina USA",-79.0414261
United States,30.2841224,"Jacksonville Beach, Duval County Florida USA",-81.3961338
,,Santa Barbara County California USA,
Spain,38.5311907,"Poniente Beach, Benidorm Alicante SPAIN",-0.1591545
,32.466666700000005,Cortes Bank California USA,-119.1666667
Australia,-29.108617100000004,Evans Head New South Wales AUSTRALIA,153.4217078
Costa Rica,10.323483,Playa Grande Guanacaste COSTA RICA,-85.8419052
Australia,-38.1844769,Tyrendarra Beach Victoria AUSTRALIA,141.7767132
United States,29.2108147,"Daytona Beach, Volusia County Florida USA",-81.02283309999999
United States,32.47935510000001,"Edisto Beach, Colleton County South Carolina USA",-80.33482289999998
,,"Lachan Island, Mercury Passage Tasmania AUSTRALIA",
United States,32.832811199999995,"La Jolla, San Diego County California USA",-117.2712717
Australia,-38.2450522,Tyrendarra Beach near Portland Victoria AUSTRALIA,141.9069481
Thailand,,,
South Africa,-34.0506714,Jeffrey's Bay Eastern Cape Province SOUTH AFRICA,24.9101544
United States,33.6594835,"Huntington Beach, Orange County California USA",-117.9988026
United States,33.6594835,"Huntington Beach, Orange County California USA",-117.9988026
Thailand,,,
The Bahamas,26.5139697,"Port Lucaya, Freeport Grand Bahama Island BAHAMAS",-78.6423782
United States,34.449088,"Off Surf City, Pender County North Carolina USA",-77.562249
Australia,-28.8,Lennox Head New South Wales AUSTRALIA,153.583333
,,East Ballina New South Wales AUSTRALIA,
