,gmtoffset,lat,long,tz,tz_abb
0,-21600,5.5282282999999985,-87.0574302,America/Costa_Rica,CST
1,-28800,36.563945000000004,-121.9423337,America/Los_Angeles,PST
2,-18000,27.945631199999998,-80.497996,America/New_York,EST
3,39600,-33.465,151.435,Australia/Sydney,AEDT
4,-18000,21.1221074,-75.83868819999998,America/Havana,CST
5,36000,-19.135865300000003,146.8423556,Australia/Brisbane,AEST
6,39600,-32.7884091,152.08031430000003,Australia/Sydney,AEDT
7,-36000,21.303527499999998,-158.0452282,Pacific/Honolulu,HST
8,14400,-20.1044023,57.5177375,Indian/Mauritius,+04
9,-18000,26.879781899999998,-80.0533743,America/New_York,EST
10,-18000,26.793769300000005,-80.03288309999998,America/New_York,EST
11,37800,-35.44638279999999,138.3215845,Australia/Adelaide,ACDT
12,-18000,26.5867358,-80.05198589999998,America/New_York,EST
13,-36000,21.9641667,-159.7088889,Pacific/Honolulu,HST
14,-36000,20.7128808,-156.4460767,Pacific/Honolulu,HST
15,7200,-34.6841036,19.4147569,Africa/Johannesburg,SAST
16,-18000,30.3709252,-81.4067718,America/New_York,EST
17,28800,-33.841649100000005,115.0221321,Australia/Perth,AWST
18,-18000,40.586724700000005,-73.81149930000001,America/New_York,EST
19,-18000,26.6167555,-80.06844790000001,America/New_York,EST
20,-18000,26.651450300000004,-80.27673270000001,America/New_York,EST
21,0,27.9202202,-15.547437300000002,Atlantic/Canary,WET
22,-18000,29.0963729,-80.9369983,America/New_York,EST
23,7200,-34.3901402,19.137465300000002,Africa/Johannesburg,SAST
24,28800,-33.8608027,121.8896205,Australia/Perth,AWST
25,28800,-20.6223242,117.1836798,Australia/Perth,AWST
26,36000,-29.4120103,153.3647477,Australia/Brisbane,AEST
27,32400,34.71790350000001,137.85151330000002,Asia/Tokyo,JST
28,-18000,24.726026,-81.0446262,America/New_York,EST
29,-21600,26.111840100000002,-97.1681257,America/Chicago,CST
30,-18000,29.0258191,-80.9269984,America/New_York,EST
31,-18000,27.186337599999998,-80.160359,America/New_York,EST
32,3600,39.8014698,-0.1309362,Europe/Madrid,CET
33,-18000,41.8917732,-69.96113059999999,America/New_York,EST
34,-18000,32.1547781,-80.7679546,America/New_York,EST
